name	node1 gene ID	MCL cluster	Conserved (Y/N)	SARS-CoV-2 Interacting Protein	SARS-CoV-2 PPI (Y/N)
IFT43	112752	C-1	yes	NA	no
IMPDH1	3614	C-1	yes	NA	no
INO80D	54891	C-1	yes	NA	no
IRF1	3659	C-1	yes	NA	no
IRF2	3660	C-1	yes	NA	no
IRF5	3663	C-1	yes	NA	no
IRF7	3665	C-1	yes	NA	no
IRF9	10379	C-1	yes	NA	no
ISG15	9636	C-1	yes	NA	no
ISG20	3669	C-1	yes	NA	no
PCLAF	9768	C-1	yes	NA	no
KIF11	3832	C-1	yes	NA	no
KIF12	113220	C-1	yes	NA	no
KIF18B	146909	C-1	yes	NA	no
KIF20A	10112	C-1	yes	NA	no
KIF26B	55083	C-1	yes	NA	no
KIF4A	24137	C-1	yes	NA	no
LEPR	3953	C-1	yes	NA	no
LIG4	3981	C-1	yes	NA	no
LMAN2	10960	C-1	no	SARS-CoV2 nsp7	yes
LYZ	4069	C-1	yes	NA	no
MAPRE2	10982	C-1	yes	NA	no
METTL7A	25840	C-1	yes	NA	no
MGST2	4258	C-1	yes	NA	no
MTARC1	64757	C-1	no	SARS-CoV2 nsp7	yes
MX1	4599	C-1	yes	NA	no
MYCBP2	23077	C-1	yes	SARS-CoV2 nsp12	yes
NCAPG	64151	C-1	yes	NA	no
NEDD8	4738	C-1	yes	NA	no
NEU1	4758	C-1	no	SARS-CoV2 orf8	yes
NLRX1	79671	C-1	no	SARS-CoV2 orf9c	yes
NPC2	10577	C-1	yes	SARS-CoV2 orf8	yes
NUDC	10726	C-1	yes	NA	no
NUF2	83540	C-1	yes	NA	no
NUP210	23225	C-1	no	SARS-CoV2 nsp4	yes
NUP214	8021	C-1	no	SARS-CoV2 nsp9	yes
NUP54	53371	C-1	no	SARS-CoV2 nsp9	yes
NUP62	23636	C-1	no	SARS-CoV2 nsp9	yes
NUP88	4927	C-1	no	SARS-CoV2 nsp9	yes
NUP58	9818	C-1	no	SARS-CoV2 nsp9	yes
OAS1	4938	C-1	yes	NA	no
OASL	8638	C-1	yes	NA	no
PARP14	54625	C-1	yes	NA	no
PBK	55872	C-1	yes	NA	no
PJA1	64219	C-1	yes	NA	no
PLAC8	51316	C-1	yes	NA	no
PML	5371	C-1	yes	NA	no
PRDX4	10549	C-1	yes	NA	no
PRKDC	5591	C-1	yes	NA	no
PTGES2	80142	C-1	no	SARS-CoV2 nsp7	yes
PTX3	5806	C-1	yes	NA	no
RAB1A	5861	C-1	no	SARS-CoV2 nsp7	yes
RACGAP1	29127	C-1	yes	NA	no
RAE1	8480	C-1	no	SARS-CoV2 orf6	yes
RBBP6	5930	C-1	yes	NA	no
RBX1	9978	C-1	no	SARS-CoV2 orf10	yes
RNASEH2C	84153	C-1	yes	NA	no
RNF111	54778	C-1	yes	NA	no
RNF213	57674	C-1	yes	NA	no
RNF41	10193	C-1	no	SARS-CoV2 nsp15	yes
RSAD2	91543	C-1	yes	NA	no
SAMHD1	25939	C-1	yes	NA	no
SGO2	151246	C-1	yes	NA	no
SH3RF1	57630	C-1	yes	NA	no
SHCBP1	79801	C-1	yes	NA	no
SMAD7	4092	C-1	yes	NA	no
SMAD9	4093	C-1	yes	NA	no
SMURF1	57154	C-1	yes	NA	no
SOCS3	9021	C-1	yes	NA	no
SP100	6672	C-1	yes	NA	no
SPC25	57405	C-1	yes	NA	no
SPTBN2	6712	C-1	yes	NA	no
STAT2	6773	C-1	yes	NA	no
STUB1	10273	C-1	yes	NA	no
ELOC	6921	C-1	no	SARS-CoV2 orf10	yes
ELOB	6923	C-1	yes	SARS-CoV2 orf10	yes
TGFA	7039	C-1	yes	NA	no
TIMP2	7077	C-1	yes	NA	no
TMED10	10972	C-1	yes	NA	no
TMED2	10959	C-1	yes	NA	no
TMED5	50999	C-1	no	SARS-CoV2 orf9c	yes
TOP2A	7153	C-1	yes	NA	no
TOR1A	1861	C-1	no	SARS-CoV2 orf8	yes
TOR1B	27348	C-1	yes	NA	no
TRIM14	9830	C-1	yes	NA	no
TRIM21	6737	C-1	yes	NA	no
TRIM9	114088	C-1	yes	NA	no
UBA7	7318	C-1	yes	NA	no
UBE2E3	10477	C-1	yes	NA	no
UBE2L6	9246	C-1	yes	NA	no
UBR4	23352	C-1	yes	NA	no
USP15	9958	C-1	yes	NA	no
VCAM1	7412	C-1	yes	NA	no
NSD2	7468	C-1	no	SARS-CoV2 nsp8	yes
WSB1	26118	C-1	yes	NA	no
XAF1	54739	C-1	yes	NA	no
CTDSPL	10217	C-1	yes	NA	no
PIMREG	54478	C-1	yes	NA	no
SWSAP1	126074	C-1	yes	NA	no
SCN4B	6330	C-1	yes	NA	no
PLK2	10769	C-1	yes	NA	no
IL10RA	3587	C-1	yes	NA	no
KLC4	89953	C-1	yes	NA	no
NEK9	91754	C-1	no	SARS-CoV2 nsp9	yes
GADD45B	4616	C-1	yes	NA	no
HSPB11	51668	C-1	yes	NA	no
USP43	124739	C-1	yes	NA	no
USP37	57695	C-1	yes	NA	no
DHX58	79132	C-1	yes	NA	no
CYB5B	80777	C-1	yes	SARS-CoV2 nsp7	yes
ZYG11B	79699	C-1	no	SARS-CoV2 orf10	yes
NLRC5	84166	C-1	yes	NA	no
PPP1R15A	23645	C-1	yes	NA	no
TRIP13	9319	C-1	yes	NA	no
OAS3	4940	C-1	yes	NA	no
DLGAP5	9787	C-1	yes	NA	no
USP18	11274	C-1	yes	NA	no
ACKR3	57007	C-2	yes	NA	no
ADCY4	196883	C-2	yes	NA	no
ADM	133	C-2	yes	NA	no
ADRA2A	150	C-2	yes	NA	no
ADRB2	154	C-2	yes	NA	no
AP2A2	161	C-2	no	SARS-CoV2 nsp10	yes
AP2M1	1173	C-2	yes	SARS-CoV2 nsp10	yes
AP2S1	1175	C-2	yes	NA	no
ASRGL1	80150	C-2	yes	NA	no
BDKRB2	624	C-2	yes	NA	no
C2	717	C-2	yes	NA	no
C3	718	C-2	yes	NA	no
CCL5	6352	C-2	yes	NA	no
CFB	629	C-2	yes	NA	no
CHRDL1	91851	C-2	yes	NA	no
CHRM3	1131	C-2	yes	NA	no
CHST11	50515	C-2	yes	NA	no
CHST3	9469	C-2	yes	NA	no
CSF1	1435	C-2	yes	NA	no
CSPG5	10675	C-2	yes	NA	no
CST3	1471	C-2	yes	NA	no
CXCL1	2919	C-2	yes	NA	no
CXCL10	3627	C-2	yes	NA	no
CXCL11	6373	C-2	yes	NA	no
CXCL2	2920	C-2	yes	NA	no
CXCL8	3576	C-2	yes	NA	no
CCN1	3491	C-2	yes	NA	no
EDN1	1906	C-2	yes	NA	no
EDN2	1907	C-2	yes	NA	no
EGFR	1956	C-2	yes	NA	no
ERRFI1	54206	C-2	yes	NA	no
F2RL1	2150	C-2	no	SARS-CoV2 orf9c	yes
FBN1	2200	C-2	no	SARS-CoV2 nsp9	yes
FZD2	2535	C-2	yes	NA	no
FZD5	7855	C-2	yes	NA	no
GABBR1	2550	C-2	yes	NA	no
GNB1	2782	C-2	no	SARS-CoV2 nsp7	yes
GNG10	2790	C-2	yes	NA	no
GNG11	2791	C-2	yes	NA	no
GNG5	2787	C-2	no	SARS-CoV2 nsp7	yes
GPC3	2719	C-2	yes	NA	no
GPNMB	10457	C-2	yes	NA	no
GPR132	29933	C-2	yes	NA	no
GPR176	11245	C-2	yes	NA	no
GPR37	2861	C-2	yes	NA	no
GPSM2	29899	C-2	yes	NA	no
HS6ST2	90161	C-2	no	SARS-CoV2 orf8	yes
IGFBP3	3486	C-2	yes	NA	no
IL6	3569	C-2	yes	NA	no
ITSN2	50618	C-2	yes	NA	no
L1CAM	3897	C-2	yes	NA	no
LDLR	3949	C-2	yes	NA	no
LRP2	4036	C-2	yes	NA	no
LTBP1	4052	C-2	yes	NA	no
MFGE8	4240	C-2	no	SARS-CoV2 orf8	yes
PRKCE	5581	C-2	yes	NA	no
PTAFR	5724	C-2	yes	NA	no
PTGER4	5734	C-2	yes	NA	no
RAMP1	10267	C-2	yes	NA	no
RDX	5962	C-2	no	SARS-CoV2 nsp13	yes
SDC4	6385	C-2	yes	NA	no
SFTPB	6439	C-2	yes	NA	no
SH3BGRL	6451	C-2	yes	NA	no
SHISA5	51246	C-2	yes	NA	no
SPP1	6696	C-2	yes	NA	no
STC2	8614	C-2	no	SARS-CoV2 orf8	yes
SYNJ1	8867	C-2	yes	NA	no
TLR6	10333	C-2	yes	NA	no
TNC	3371	C-2	yes	NA	no
TRIO	7204	C-2	yes	NA	no
USP6NL	9712	C-2	yes	NA	no
VCAN	1462	C-2	yes	NA	no
WFS1	7466	C-2	no	SARS-CoV2 orf9c	yes
ADORA2A	135	C-2	yes	NA	no
RTP4	64108	C-2	yes	NA	no
PTPRE	5791	C-2	yes	NA	no
REEP6	92840	C-2	no	SARS-CoV2 M	yes
REEP5	7905	C-2	no	SARS-CoV2 M	yes
TLR9	54106	C-2	yes	NA	no
CHPF2	54480	C-2	no	SARS-CoV2 orf8	yes
CAV2	858	C-2	yes	NA	no
CHPF	79586	C-2	no	SARS-CoV2 orf8	yes
ALCAM	214	C-2	yes	NA	no
HS2ST1	9653	C-2	no	SARS-CoV2 nsp7	yes
KCNJ15	3772	C-2	yes	NA	no
FUCA2	2519	C-2	yes	NA	no
CX3CL1	6376	C-2	yes	NA	no
SLC9A3R1	9368	C-2	no	SARS-CoV2 orf9b	yes
CCL2	6347	C-2	yes	NA	no
PIK3R2	5296	C-2	yes	NA	no
ECE1	1889	C-2	yes	NA	no
AFF4	27125	C-3	yes	NA	no
ANGPTL4	51129	C-3	yes	NA	no
ANKRD1	27063	C-3	yes	NA	no
ATF3	467	C-3	yes	NA	no
ATF4	468	C-3	yes	NA	no
ATF6B	1388	C-3	yes	NA	no
CCNT2	905	C-3	yes	NA	no
CHD9	80205	C-3	yes	NA	no
CITED2	10370	C-3	yes	NA	no
CREB5	9586	C-3	yes	NA	no
CREBBP	1387	C-3	yes	NA	no
CRYZ	1429	C-3	yes	NA	no
CWC27	10283	C-3	no	SARS-CoV2 E	yes
DDIT3	1649	C-3	yes	NA	no
DDX21	9188	C-3	no	SARS-CoV2 N	yes
INTS6L	203522	C-3	yes	NA	no
DNMT1	1786	C-3	no	SARS-CoV2 orf8	yes
ERH	2079	C-3	yes	NA	no
ERN1	2081	C-3	yes	NA	no
ETS2	2114	C-3	yes	NA	no
FOS	2353	C-3	yes	NA	no
FOSB	2354	C-3	yes	NA	no
FOSL1	8061	C-3	yes	NA	no
GRHL1	29841	C-3	yes	NA	no
GTF2F2	2963	C-3	no	SARS-CoV2 nsp9	yes
GTF3C6	112495	C-3	yes	NA	no
H2AZ2	94239	C-3	yes	NA	no
HELZ2	85441	C-3	yes	NA	no
INTS4	92105	C-3	no	SARS-CoV2 M	yes
INTS6	26512	C-3	yes	NA	no
JARID2	3720	C-3	yes	NA	no
JUN	3725	C-3	yes	NA	no
JUNB	3726	C-3	yes	NA	no
KDM6A	7403	C-3	yes	NA	no
KMT2C	58508	C-3	yes	NA	no
KMT2E	55904	C-3	yes	NA	no
LSM8	51691	C-3	yes	NA	no
MEF2A	4205	C-3	yes	NA	no
MEIS1	4211	C-3	yes	NA	no
MOV10	4343	C-3	yes	SARS-CoV2 N	yes
NABP1	64859	C-3	yes	NA	no
NR3C1	2908	C-3	yes	NA	no
POLR2F	5435	C-3	yes	NA	no
POLR2L	5441	C-3	yes	NA	no
POLR3A	11128	C-3	yes	NA	no
POR	5447	C-3	no	SARS-CoV2 nsp2	yes
POU2F2	5452	C-3	yes	NA	no
PPIL3	53938	C-3	no	SARS-CoV2 nsp12	yes
CAVIN1	284119	C-3	yes	NA	no
RBM5	10181	C-3	yes	NA	no
RUNX2	860	C-3	yes	NA	no
SF3B5	83443	C-3	yes	NA	no
SLU7	10569	C-3	no	SARS-CoV2 nsp12	yes
SNAPC4	6621	C-3	yes	NA	no
SNIP1	79753	C-3	yes	SARS-CoV2 N	yes
SNRNP25	79622	C-3	yes	NA	no
SNRPA1	6627	C-3	yes	NA	no
CENPX	201254	C-3	yes	NA	no
SUN2	25777	C-3	no	SARS-CoV2 orf3a	yes
TAF1D	79101	C-3	yes	NA	no
TCF12	6938	C-3	no	SARS-CoV2 nsp12	yes
TIAM2	26230	C-3	yes	NA	no
TLE1	7088	C-3	no	SARS-CoV2 nsp13	yes
TLE3	7090	C-3	no	SARS-CoV2 nsp13	yes
TNRC6A	27327	C-3	yes	NA	no
ZCRB1	85437	C-3	yes	NA	no
ZNF217	7764	C-3	yes	NA	no
PIH1D1	55011	C-3	yes	NA	no
MDM4	4194	C-3	yes	NA	no
CDKN2C	1031	C-3	yes	NA	no
TAF4B	6875	C-3	yes	NA	no
TRIB3	57761	C-3	yes	NA	no
AKR7A2	8574	C-3	yes	NA	no
BTG2	7832	C-3	yes	NA	no
KDM6B	23135	C-3	yes	NA	no
TLE5	166	C-3	no	SARS-CoV2 nsp13	yes
HMOX1	3162	C-3	no	SARS-CoV2 orf3a	yes
XBP1	7494	C-3	yes	NA	no
FABP4	2167	C-3	yes	NA	no
ELL2	22936	C-3	yes	NA	no
SNRPD3	6634	C-3	yes	NA	no
AKAP8	10270	C-4	no	SARS-CoV2 nsp12	yes
AKAP9	10142	C-4	yes	SARS-CoV2 nsp13	yes
ARAP2	116984	C-4	yes	NA	no
ARHGAP17	55114	C-4	yes	NA	no
ARHGAP30	257106	C-4	yes	NA	no
ARHGAP40	343578	C-4	yes	NA	no
ARHGEF28	64283	C-4	yes	NA	no
ARHGEF38	54848	C-4	yes	NA	no
CDK5RAP2	55755	C-4	no	SARS-CoV2 nsp13	yes
CEP131	22994	C-4	yes	NA	no
CEP250	11190	C-4	no	SARS-CoV2 nsp13	yes
CIT	11113	C-4	no	SARS-CoV2 nsp13	yes
CNTRL	11064	C-4	no	SARS-CoV2 nsp13	yes
DENND4B	9909	C-4	yes	NA	no
DLC1	10395	C-4	yes	NA	no
EEA1	8411	C-4	yes	NA	no
EFNA1	1942	C-4	yes	NA	no
EPHA2	1969	C-4	yes	NA	no
EPHA4	2043	C-4	yes	NA	no
FGD4	121512	C-4	yes	NA	no
CEP43	11116	C-4	no	SARS-CoV2 nsp13	yes
GNA13	10672	C-4	yes	NA	no
MYH10	4628	C-4	yes	NA	no
NIN	51199	C-4	no	SARS-CoV2 nsp13	yes
NINL	22981	C-4	no	SARS-CoV2 nsp13	yes
NPHP1	4867	C-4	yes	NA	no
OPTN	10133	C-4	yes	NA	no
PCNT	5116	C-4	no	SARS-CoV2 nsp13	yes
PDE4B	5142	C-4	yes	NA	no
PIP5K1A	8394	C-4	yes	NA	no
PKIA	5569	C-4	yes	NA	no
PLCD1	5333	C-4	yes	NA	no
PPP1R14A	94274	C-4	yes	NA	no
PRKACA	5566	C-4	no	SARS-CoV2 nsp13	yes
PRKAR1B	5575	C-4	yes	NA	no
PRKAR2A	5576	C-4	no	SARS-CoV2 nsp13	yes
PRKAR2B	5577	C-4	yes	SARS-CoV2 nsp13	yes
RAB10	10890	C-4	no	SARS-CoV2 nsp7	yes
RAB12	201475	C-4	yes	NA	no
RAB14	51552	C-4	no	SARS-CoV2 nsp7	yes
RAB18	22931	C-4	no	SARS-CoV2 nsp7	yes
RAB23	51715	C-4	yes	NA	no
RAB2A	5862	C-4	no	SARS-CoV2 nsp7	yes
RAB30	27314	C-4	yes	NA	no
RAB40B	10966	C-4	yes	NA	no
RAB4A	5867	C-4	yes	NA	no
RAB5C	5878	C-4	no	SARS-CoV2 nsp7	yes
RAB8A	4218	C-4	no	SARS-CoV2 nsp7	yes
RAC3	5881	C-4	yes	NA	no
RAP1GDS1	5910	C-4	no	SARS-CoV2 nsp2	yes
RHOA	387	C-4	no	SARS-CoV2 nsp7	yes
RHOB	388	C-4	yes	NA	no
RPGRIP1L	23322	C-4	yes	NA	no
SRGAP3	9901	C-4	yes	NA	no
SSNA1	8636	C-4	yes	NA	no
STARD13	90627	C-4	yes	NA	no
STMN1	3925	C-4	yes	NA	no
TMEM67	91147	C-4	yes	NA	no
TUBB	203068	C-4	yes	NA	no
TUBGCP2	10844	C-4	no	SARS-CoV2 M	yes
TUBGCP3	10426	C-4	no	SARS-CoV2 M	yes
EML1	2009	C-4	yes	NA	no
RAP1GAP2	23108	C-4	yes	NA	no
ITPKC	80271	C-4	yes	NA	no
RALA	5898	C-4	no	SARS-CoV2 nsp7	yes
RAB9B	51209	C-4	yes	NA	no
ALS2CL	259173	C-4	yes	NA	no
ARHGAP31	57514	C-4	yes	NA	no
RIN2	54453	C-4	yes	NA	no
ARHGEF9	23229	C-4	yes	NA	no
CEP135	9662	C-4	no	SARS-CoV2 nsp13	yes
DAAM1	23002	C-4	yes	NA	no
EFNB1	1947	C-4	yes	NA	no
ACAD9	28976	C-5	no	SARS-CoV2 orf9c	yes
ATP5F1C	509	C-5	yes	NA	no
ATP5F1E	514	C-5	yes	NA	no
ATP5MC3	518	C-5	yes	NA	no
ATP5PD	10476	C-5	yes	NA	no
ATP5PF	522	C-5	yes	NA	no
ATP5MF	9551	C-5	yes	NA	no
ATP5MG	10632	C-5	no	SARS-CoV2 nsp6	yes
ATP6AP1	537	C-5	yes	SARS-CoV2 nsp6	yes
ATP6V0A4	50617	C-5	yes	NA	no
ATP6V1A	523	C-5	no	SARS-CoV2 M	yes
ATP6V1D	51382	C-5	yes	NA	no
COX5A	9377	C-5	yes	NA	no
COX5B	1329	C-5	yes	NA	no
COX8A	1351	C-5	yes	NA	no
ECSIT	51295	C-5	no	SARS-CoV2 orf9c	yes
NDUFC2-KCTD14	100532726	C-5	yes	NA	no
INSR	3643	C-5	yes	NA	no
MGME1	92667	C-5	yes	NA	no
MTCH1	23787	C-5	no	SARS-CoV2 orf6	yes
NDUFA2	4695	C-5	yes	NA	no
NDUFA4	4697	C-5	yes	NA	no
NDUFA5	4698	C-5	yes	NA	no
NDUFA6	4700	C-5	yes	NA	no
NDUFA8	4702	C-5	yes	NA	no
NDUFA9	4704	C-5	yes	NA	no
NDUFAB1	4706	C-5	yes	NA	no
NDUFAF1	51103	C-5	no	SARS-CoV2 orf9c	yes
NDUFAF2	91942	C-5	no	SARS-CoV2 nsp7	yes
NDUFB2	4708	C-5	yes	NA	no
NDUFB5	4711	C-5	yes	NA	no
NDUFB8	4714	C-5	yes	NA	no
NDUFB9	4715	C-5	no	SARS-CoV2 orf9c	yes
NDUFS6	4726	C-5	yes	NA	no
NUBPL	80224	C-5	yes	NA	no
TMEM126B	55863	C-5	yes	NA	no
UQCR10	29796	C-5	yes	NA	no
UQCR11	10975	C-5	yes	NA	no
COX6A1	1337	C-5	yes	NA	no
ATP5F1D	513	C-5	yes	NA	no
AATF	26574	C-6	no	SARS-CoV2 nsp8	yes
CARS1	833	C-6	yes	NA	no
DDX10	1662	C-6	no	SARS-CoV2 nsp8	yes
RPL41	6171	C-6	yes	NA	no
EXOSC2	23404	C-6	no	SARS-CoV2 nsp8	yes
EXOSC3	51010	C-6	no	SARS-CoV2 nsp8	yes
EXOSC6	118460	C-6	yes	NA	no
EXOSC8	11340	C-6	no	SARS-CoV2 nsp8	yes
FBLL1	345630	C-6	yes	NA	no
IMP3	55272	C-6	yes	NA	no
LARP4B	23185	C-6	no	SARS-CoV2 nsp12	yes
MPHOSPH10	10199	C-6	no	SARS-CoV2 nsp8	yes
NGDN	25983	C-6	no	SARS-CoV2 nsp8	yes
NHP2	55651	C-6	yes	NA	no
NOL10	79954	C-6	no	SARS-CoV2 nsp8	yes
NOP10	55505	C-6	yes	NA	no
RPL18	6141	C-6	yes	NA	no
RPL36	25873	C-6	no	SARS-CoV2 N	yes
RPS15	6209	C-6	yes	NA	no
RPS9	6203	C-6	yes	NA	no
RRP9	9136	C-6	no	SARS-CoV2 N	yes
SHQ1	55164	C-6	yes	NA	no
SMG1	23049	C-6	yes	NA	no
SRFBP1	153443	C-6	yes	NA	no
SRP19	6728	C-6	no	SARS-CoV2 nsp8	yes
SRP54	6729	C-6	no	SARS-CoV2 nsp8	yes
SRP72	6731	C-6	no	SARS-CoV2 nsp8	yes
TRMT112	51504	C-6	yes	NA	no
UPF1	5976	C-6	no	SARS-CoV2 N	yes
WDR46	9277	C-6	yes	NA	no
ZFP36	7538	C-6	yes	NA	no
RBM28	55131	C-6	no	SARS-CoV2 N	yes
SRP14	6727	C-6	yes	NA	no
EXOSC5	56915	C-6	no	SARS-CoV2 nsp8	yes
ERC1	23085	C-7	no	SARS-CoV2 nsp13	yes
IL12RB2	3595	C-7	yes	NA	no
IL18	3606	C-7	yes	NA	no
IL18R1	8809	C-7	yes	NA	no
IL1A	3552	C-7	yes	NA	no
IRAK2	3656	C-7	yes	NA	no
MAP3K8	1326	C-7	yes	NA	no
NFATC2	4773	C-7	yes	NA	no
NFKB1	4790	C-7	yes	NA	no
NFKB2	4791	C-7	yes	NA	no
NFKBIA	4792	C-7	yes	NA	no
NFKBID	84807	C-7	yes	NA	no
NFKBIE	4794	C-7	yes	NA	no
NFKBIZ	64332	C-7	yes	NA	no
PPIA	5478	C-7	yes	NA	no
REL	5966	C-7	yes	NA	no
RELB	5971	C-7	yes	NA	no
TNF	7124	C-7	yes	NA	no
ZBP1	81030	C-7	yes	NA	no
BCL3	602	C-7	yes	NA	no
BIRC3	330	C-8	yes	NA	no
CLIP3	25999	C-8	yes	NA	no
CYLD	1540	C-8	yes	NA	no
IKBKE	9641	C-8	yes	NA	no
MLKL	197259	C-8	yes	NA	no
NOD1	10392	C-8	yes	NA	no
NOD2	64127	C-8	yes	NA	no
RIPK1	8737	C-8	no	SARS-CoV2 nsp12	yes
TANK	10010	C-8	yes	NA	no
TBK1	29110	C-8	no	SARS-CoV2 nsp13	yes
TBKBP1	9755	C-8	no	SARS-CoV2 nsp13	yes
TLR3	7098	C-8	yes	NA	no
TNFAIP3	7128	C-8	yes	NA	no
TNFRSF10B	8795	C-8	yes	NA	no
TNFSF10	8743	C-8	yes	NA	no
ZRANB1	54764	C-8	yes	NA	no
TNIP1	10318	C-8	yes	NA	no
RIPK2	8767	C-8	yes	NA	no
TICAM1	148022	C-8	yes	NA	no
TNFRSF10A	8797	C-8	yes	NA	no
COL11A2	1302	C-9	yes	NA	no
COL16A1	1307	C-9	yes	NA	no
COL4A2	1284	C-9	yes	NA	no
COL4A4	1286	C-9	yes	NA	no
COL6A1	1291	C-9	no	SARS-CoV2 orf8	yes
FBN2	2201	C-9	no	SARS-CoV2 nsp9	yes
ITGA2	3673	C-9	yes	NA	no
ITGA5	3678	C-9	yes	NA	no
ITGB1	3688	C-9	no	SARS-CoV2 orf8	yes
LAMB3	3914	C-9	yes	NA	no
MET	4233	C-9	yes	NA	no
NTN4	59277	C-9	yes	NA	no
PLOD2	5352	C-9	no	SARS-CoV2 orf8	yes
PCOLCE2	26577	C-9	yes	NA	no
SEMA7A	8482	C-9	yes	NA	no
COLGALT1	79709	C-9	no	SARS-CoV2 nsp1	yes
LAMA5	3911	C-9	yes	NA	no
ITGB8	3696	C-9	yes	NA	no
ACTN2	88	C-10	yes	NA	no
ACTN4	81	C-10	yes	NA	no
ADAMTS1	9510	C-10	no	SARS-CoV2 orf8	yes
ADAMTS6	11174	C-10	yes	NA	no
ADAMTS9	56999	C-10	yes	NA	no
B3GLCT	145173	C-10	yes	NA	no
CLU	1191	C-10	yes	NA	no
CCN2	1490	C-10	yes	NA	no
GTPBP2	54676	C-10	yes	NA	no
MAGED2	10916	C-10	yes	NA	no
RUNX3	864	C-10	yes	NA	no
SCCPDH	51097	C-10	no	SARS-CoV2 nsp7	yes
TGFB2	7042	C-10	yes	NA	no
TGFB3	7043	C-10	yes	NA	no
THBS1	7057	C-10	yes	NA	no
VEGFA	7422	C-10	yes	NA	no
VEGFC	7424	C-10	yes	NA	no
GRK3	157	C-11	yes	NA	no
AP3B1	8546	C-11	no	SARS-CoV2 E	yes
ARRB1	408	C-11	yes	NA	no
BAD	572	C-11	yes	NA	no
BCL2L11	10018	C-11	yes	NA	no
BRAF	673	C-11	yes	NA	no
CNKSR1	10256	C-11	yes	NA	no
KDM7A	80853	C-11	yes	NA	no
KSR1	8844	C-11	yes	NA	no
LMNA	4000	C-11	yes	NA	no
MARK3	4140	C-11	no	SARS-CoV2 orf9b	yes
PAPSS1	9061	C-11	yes	NA	no
PEBP1	5037	C-11	yes	NA	no
ZC3HAV1	56829	C-11	yes	NA	no
MCL1	4170	C-11	yes	NA	no
